,,,,,,,,,,,,,,,,
DESIGN NO,OLD VARIANT,CATEGORY,SUB CATEGORY,GENDER,COLLECTION,MULTI SIZE,METAL COLOUR,PORTFOLIO TYPE,SOLITAIRE SLAB_FROM,SOLITAIRE SLAB_TO,SIZE FROM,SIZE TO,PURITY,Color,Last Updation Date,Item Creation Date
DPF9962,PF3052,NECKWEAR,Female Pendant,Female,Generic,-,,Divine (DSJ),,,,,,Rose,3-12-2024,2-21-2024
DRM9033,RM1256,RING,Male Ring,Male,Generic,18,"Rose,White,Yellow",Divine (DSJ),0.30-0.38,1.24-1.49,21,21,"10KT,14KT,18KT,9KT",Yellow,3-15-2024,2-21-2024
DRF8249,RF1847,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,11,15,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,3-7-2024
DRF8195,RF1760,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.50-0.59,4,16,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRF8194,RF1759,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.50-0.59,11,35.5,"10KT,14KT,18KT,9KT",Rose,3-24-2024,2-21-2024
DRF8187,RF1746,RING,Female Ring,Female,Generic,12,"Rose,Rose White,White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.18-0.22,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",White Rose,4-15-2024,4-15-2024
DRF8689,RF3051,RING,Female Ring,Female,Generic,26,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,12,15,"10KT,14KT,18KT,9KT",Yellow,4-22-2024,2-21-2024
DEF9308,EF3250,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRF8174,RF1690,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-15-2024,2-21-2024
DPF8209,PF3087,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DLK9912,LK3013,ACCESSORIES,Locket,Female,Generic,-,,Divine (DSJ),,,,,,BRASS YELLOW,4-17-2024,2-21-2024
DEF8492,EF1198,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF9655,RF1522,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-26-2024,3-23-2024
DMF8673,MF3001,NECKWEAR,Mangalsutra,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,3-20-2024,2-21-2024
DRF9550,RF1150,RING,Female Ring,Female,Generic,11,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,4,20,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DEF8161,EF6058,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRM9040,RM1274,RING,Male Ring,Male,Generic,21,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.70-0.79,13,26,"10KT,14KT,18KT,9KT",Yellow,3-11-2024,3-6-2024
DRF9642,RF1454,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-22-2024,2-21-2024
DRF9756,RF1655,RING,Female Ring,Female,Generic,11,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",,3-6-2024,3-5-2024
DPF9488,PF1117,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",,4-16-2024,4-16-2024
DRF8192,RF1757,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.18-0.22,9,12,"10KT,14KT,18KT,9KT",Yellow,3-21-2024,2-21-2024
DRF9658,RF1532,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF8822,RF3117,RING,Female Ring,Female,Setu Collection,15,"Rose White,Yellow White",Divine (DSJ),0.23-0.29,0.50-0.59,-,21,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DRF9169,RF3306,RING,Female Ring,Female,Ballerina,16,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.30-0.38,4,16,"10KT,14KT,18KT,9KT",Yellow,3-18-2024,2-21-2024
DCM8776,CM3038,RING,Couple Male Ring,Male,Now & Forever,20,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.18-0.22,17,17,"10KT,14KT,18KT,9KT",Yellow,4-15-2024,2-21-2024
DEF8582,EF1299,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Yellow,5-7-2024,2-21-2024
DNP8423,NP3004,NOSE PIN,Nose Pin,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,4-8-2024,2-21-2024
DEM9360,EM3002,EARRING,Male Earring,Male,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF9399,RF6079,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.30-0.38,4,16,"10KT,14KT,18KT,9KT",Yellow,4-5-2024,2-21-2024
DRF8695,RF3057,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.45-0.49,10,19,"10KT,14KT,18KT,9KT",Yellow,3-15-2024,2-21-2024
DRF9550,RF1150,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,4,20,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DPF8399,PF6093,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DCF8896,RF1642,RING,Couple Female Ring,Female,Now & Forever,8,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.14-0.17,0.30-0.38,12,12,"10KT,14KT,18KT,9KT",Yellow,4-6-2024,2-21-2024
DRF9552,RF1157,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF9553,RF1165,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF8196,RF1770,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-29-2024,2-21-2024
DEF8730,EF1398,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,1.00-1.23,-,-,"10KT,14KT,18KT,9KT",Rose,3-27-2024,2-21-2024
DEF8593,EF1326,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.50-0.59,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF9541,RF1113,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF8954,RF3155,RING,Female Ring,Female,Generic,15,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.30-0.38,6,17,"10KT,14KT,18KT,9KT",Yellow,3-20-2024,2-21-2024
DRF10007,RF1828,RING,Female Ring,Female,Generic,12,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DRF8548,RF2122,RING,Female Ring,Female,Now & Forever,9,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.18-0.22,11,11,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF8262,RF1872,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-29-2024,2-21-2024
DRF8709,RF3071,RING,Female Ring,Female,Generic,9,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.90-0.99,4,26,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DCM8757,RM1263,RING,Couple Male Ring,Male,Now & Forever,26,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.23-0.29,0.23-0.29,20,20,"10KT,14KT,18KT,9KT",White,3-26-2024,2-21-2024
DRF9766,RF1676,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.30-0.38,4,16,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DCF8900,RF1979,RING,Couple Female Ring,Female,Now & Forever,13,"Rose White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.18-0.22,0.70-0.79,4,16,"10KT,14KT,18KT,9KT",White,4-16-2024,2-21-2024
DRF8194,RF1759,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.50-0.59,11,35.5,"10KT,14KT,18KT,9KT",Yellow,3-24-2024,2-21-2024
DRF9555,RF1212,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,4,16,"10KT,14KT,18KT,9KT",Yellow,3-26-2024,3-23-2024
DRF9770,RF1680,RING,Female Ring,Female,Generic,17,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,13,20,"10KT,14KT,18KT,9KT",Yellow,3-7-2024,2-21-2024
DRF8549,RF2123,RING,Female Ring,Female,Now & Forever,12,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,1.00-1.23,8,13,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF8246,RF1841,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.00-2.49,15,20,"10KT,14KT,18KT,9KT",Yellow,3-21-2024,2-21-2024
DRM9146,RM3008,RING,Male Ring,Male,Generic,26,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.10-0.13,0.18-0.22,22,35,"10KT,14KT,18KT,9KT",White,4-10-2024,2-21-2024
DCM8774,CM3035,RING,Couple Male Ring,Male,Now & Forever,18,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),,,15,26,"10KT,14KT,18KT,9KT",White,,2-21-2024
DRF9639,RF1437,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,11,14,"10KT,14KT,18KT,9KT",Yellow,,3-20-2024
DEF9906,EF8094,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DRM8928,RM1205,RING,Male Ring,Male,Generic,20,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,1.50-1.69,23,33,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF9669,RF1412,RING,Female Ring,Female,Generic,9,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-15-2024,2-21-2024
DEF8857,EF1462,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF8177,RF1700,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.50-0.59,-,32.5,"10KT,14KT,18KT,9KT",Yellow,4-4-2024,2-21-2024
DRF8342,RF1937,RING,Female Ring,Female,Generic,8,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.30-0.38,4,16,"10KT,14KT,18KT,9KT",Yellow,5-4-2024,2-21-2024
DRM9228,RM3024,RING,Male Ring,Male,Generic,22,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.60-0.69,-,30.5,"10KT,14KT,18KT,9KT",Yellow,3-29-2024,2-21-2024
DEF9864,EF3509,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DRF9074,RF3252,RING,Female Ring,Female,Generic,9,"Rose White,Yellow White",Divine (DSJ),0.18-0.22,0.30-0.38,4,16,"10KT,14KT,18KT,9KT",White,4-10-2024,2-21-2024
DEF9105,EF3108,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF9556,RF1215,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRM9149,RM3013,RING,Male Ring,Male,Generic,22,"Rose,Rose White Rhodium,White,Yellow,Yellow White Rhodium",Divine (DSJ),0.14-0.17,0.14-0.17,18,18,"10KT,14KT,18KT,9KT",White,3-8-2024,2-21-2024
DEF8996,EF3069,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF8188,RF1752,RING,Female Ring,Female,Generic,11,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DEF8875,EF3012,EARRING,Female Earring,Female,Generic,-,"Rose White Rhodium,Yellow White Rhodium",Divine (DSJ),0.10-0.13,0.70-0.79,-,-,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DRM9127,RM1324,RING,Male Ring,Male,Generic,24,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,20,29,"10KT,14KT,18KT,9KT",Yellow,4-16-2024,4-16-2024
DRF8710,rf3105,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.50-0.59,6,17,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF9540,RF1112,RING,Female Ring,Female,Generic,15,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.45-0.49,4,19,"10KT,14KT,18KT,9KT",Rose,3-14-2024,2-21-2024
DRM8943,RM1122,RING,Male Ring,Male,Generic,19,"Rose,White,Yellow",Divine (DSJ),0.39-0.44,0.39-0.44,18,18,"10KT,14KT,18KT,9KT",Yellow,3-11-2024,2-21-2024
DRF8564,RF3008,RING,Female Ring,Female,Generic,26,"Rose,Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.14-0.17,0.14-0.17,10,30,"10KT,14KT,18KT,9KT",White,3-8-2024,2-21-2024
DEF8502,EF1242,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Rose,3-8-2024,2-21-2024
DRM9126,RM1312,RING,Male Ring,Male,Generic,26,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.30-0.38,15,26,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF9656,RF1525,RING,Female Ring,Female,Generic,26,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,14,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DCF8769,CF3028,RING,Couple Female Ring,Female,Now & Forever,14,"Rose,White,Yellow",Divine (DSJ),,,6,17,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRF8572,RF3017,RING,Female Ring,Female,Generic,26,"Rose,Rose White,White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.14-0.17,0.45-0.49,15,15,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DPF9677,PF1310,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRF8562,RF3006,RING,Female Ring,Female,Generic,9,"Rose,Rose White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.10-0.13,0.18-0.22,9,16,"10KT,14KT,18KT,9KT",White,3-21-2024,2-21-2024
DRF9771,RF1565,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Yellow,4-1-2024,2-21-2024
DRF9756,RF1655,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-6-2024,2-21-2024
DEF8858,EF1464,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.10-0.13,-,-,"10KT,14KT,18KT,9KT",Yellow,4-10-2024,2-21-2024
DRF9758,RF1657,RING,Female Ring,Female,Generic,11,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRM8929,RM1206,RING,Male Ring,Male,Generic,22,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.70-0.79,-,20.5,"10KT,14KT,18KT,9KT",Yellow,3-11-2024,2-21-2024
DEF8496,EF1231,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.90-0.99,-,-,"10KT,14KT,18KT,9KT",Yellow,3-23-2024,2-21-2024
DNP8409,NP1120,NOSE PIN,Nose Pin,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.50-0.59,-,-,"10KT,14KT,18KT,9KT",Yellow,3-27-2024,2-21-2024
DEF9225,EF3227,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Rose,,2-21-2024
DMale Earrings9361,EM3003,EARRING,Male Earring,Male,Generic,-,"Rose,White,Yellow",Divine (DSJ),,,-,-,"10KT,14KT,18KT,9KT",Yellow,3-14-2024,2-21-2024
DRF9657,RF1528,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.70-0.79,4,16,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DEF9708,EF3479,EARRING,Female Earring,Female,Generic,-,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",White,,2-21-2024
DRF9555,RF1212,RING,Female Ring,Female,Generic,9,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,4,16,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DRM8914,RM1156,RING,Male Ring,Male,Generic,21,"Rose,White,Yellow",Divine (DSJ),-,2.00-2.49,-,20.5,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRM9046,RM1287,RING,Male Ring,Male,Generic,26,"Rose White,White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.23-0.29,22,22,"10KT,14KT,18KT,9KT",Yellow,3-15-2024,2-21-2024
DEF8589,EF1320,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,1.00-1.23,4,16,"10KT,14KT,18KT,9KT",Yellow,3-16-2024,2-21-2024
DCM8753,CM3061,RING,Couple Male Ring,Male,Now & Forever,21,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.70-0.79,14,21,"10KT,14KT,18KT,9KT",Yellow,4-9-2024,2-21-2024
DEF9847,EF3306,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,Rose,4-17-2024,2-21-2024
DRM9052,RM1295,RING,Male Ring,Male,Generic,20,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.23-0.29,22,22,"10KT,14KT,18KT,9KT",White,4-3-2024,2-21-2024
DRF9390,RF6010,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.30-0.38,4,19,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DEF8714,EF1375,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),-,0.70-0.79,-,-,"10KT,14KT,18KT,9KT",Rose,4-2-2024,2-21-2024
DRM9124,RM1304,RING,Male Ring,Male,Generic,26,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.50-0.59,16,20.5,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRM8910,RM1146,RING,Male Ring,Male,Generic,19,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.30-0.38,-,20.5,"10KT,14KT,18KT,9KT",Yellow,3-29-2024,2-21-2024
DRF8820,RF3115,RING,Female Ring,Female,Setu Collection,13,"Rose White,Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.50-0.59,4,20,"10KT,14KT,18KT,9KT",White,3-19-2024,2-21-2024
DRF10070,RF8009,RING,Female Ring,Female,Generic,11,,Divine (DSJ),,,,,,Rose,,2-21-2024
DRF8563,RF3007,RING,Female Ring,Female,Generic,16,"Rose,Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.10-0.13,0.70-0.79,4,16,"10KT,14KT,18KT,9KT",White,3-12-2024,2-21-2024
DRM9025,RM1242,RING,Male Ring,Male,Generic,22,"Rose,Rose White,Rose White Rhodium,White,Yellow,Yellow White Rhodium",Divine (DSJ),0.30-0.38,0.30-0.38,20,20,"10KT,14KT,18KT,9KT",White,3-30-2024,2-21-2024
DRF9639,RF1437,RING,Female Ring,Female,Generic,11,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,11,14,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRM9048,RM1289,RING,Male Ring,Male,Generic,19,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.23-0.29,22,22,"10KT,14KT,18KT,9KT",Yellow,4-5-2024,2-21-2024
DEF8592,EF1325,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Yellow,3-15-2024,2-21-2024
DEF8502,EF1242,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRM9146,RM3008,RING,Male Ring,Male,Generic,22,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.10-0.13,0.18-0.22,22,35,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DRF10060,RF3503,RING,Female Ring,Female,Generic,14,,Divine (DSJ),,,,,,Rose,,2-21-2024
DRF10016,RF1899,RING,Female Ring,Female,Generic,13,,Divine (DSJ),,,,,,Rose,,2-21-2024
DRF9073,RF3251,RING,Female Ring,Female,Setu Collection,14,"Rose White,Rose White Rhodium,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.23-0.29,2.50-2.99,13,21,"10KT,14KT,18KT,9KT",White,3-8-2024,2-21-2024
DRF10034,RF3144,RING,Female Ring,Female,Generic,17,,Divine (DSJ),,,,,,Rose,,2-21-2024
DCM8762,RM1349,RING,Couple Male Ring,Male,Now & Forever,21,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.23-0.29,17,20,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF9080,RF3258,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.23-0.29,4,16,"10KT,14KT,18KT,9KT",Yellow,4-3-2024,2-21-2024
DMF8661,MF015,NECKWEAR,Mangalsutra,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.90-0.99,-,-,"10KT,14KT,18KT,9KT",Rose,3-23-2024,2-21-2024
DRF8270,RF1802,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,2.50-2.99,9,11,"10KT,14KT,18KT,9KT",Rose,3-29-2024,2-21-2024
DRF10011,RF1845,RING,Female Ring,Female,Generic,16,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DBR8906,BF3020,WRIST WEAR,Chain Bracelets,Female,Generic,7,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.18-0.22,"7""","8""","10KT,14KT,18KT,9KT",Rose,4-11-2024,2-21-2024
DRF9297,RF3525,RING,Female Ring,Female,Generic,12,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.14-0.17,0.30-0.38,4,19,"10KT,14KT,18KT,9KT",White,,2-21-2024
DPF8380,PF6073,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Rose,,2-21-2024
DEF9870,EF6037,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,White,,2-21-2024
DRF8818,RF3113,RING,Female Ring,Female,Setu Collection,8,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.90-0.99,4,19,"10KT,14KT,18KT,9KT",White,3-19-2024,2-21-2024
DPF9977,PF6067,NECKWEAR,Female Pendant,Female,Generic,-,,Divine (DSJ),,,,,,White,3-12-2024,2-21-2024
DRF8576,RF3021,RING,Female Ring,Female,Generic,9,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),,,4,26,"10KT,14KT,18KT,9KT",White,,2-21-2024
DEF9199,EF3170,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRM9150,RM3014,RING,Male Ring,Male,Generic,26,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),-,2.50-2.99,1,21,"10KT,14KT,18KT,9KT",White,3-29-2024,2-21-2024
DRF8682,RF3029,RING,Female Ring,Female,Generic,8,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.18-0.22,0.23-0.29,10,13,"10KT,14KT,18KT,9KT",Yellow,4-10-2024,2-21-2024
