,,,,,,,,,,,,,,,,
DESIGN NO,OLD VARIANT,CATEGORY,SUB CATEGORY,GENDER,COLLECTION,MULTI SIZE,METAL COLOUR,PORTFOLIO TYPE,SOLITAIRE SLAB_FROM,SOLITAIRE SLAB_TO,SIZE FROM,SIZE TO,PURITY,Color,Last Updation Date,Item Creation Date
DRF8707,RF3069,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.30-0.38,8,17,"10KT,14KT,18KT,9KT",Yellow,3-23-2024,2-21-2024
DRF9541,RF1113,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,3-7-2024
DRF9999,RF1701,RING,Female Ring,Female,Generic,16,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DRF9658,RF1532,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DEF8716,EF1379,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,1.50-1.69,-,-,"10KT,14KT,18KT,9KT",Rose,3-29-2024,3-18-2024
DRF8691,RF3053,RING,Female Ring,Female,Generic,9,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.14-0.17,5,13,"10KT,14KT,18KT,9KT",Yellow,3-6-2024,2-21-2024
DRM9051,RM1293,RING,Male Ring,Male,Generic,21,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.18-0.22,0.70-0.79,20,21,"10KT,14KT,18KT,9KT",White,3-19-2024,2-21-2024
DPF9498,PF1195,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF8546,RF2120,RING,Female Ring,Female,Now & Forever,11,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF9556,RF1215,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRM9153,RM3017,RING,Male Ring,Male,Generic,17.5,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.39-0.44,13,15,"10KT,14KT,18KT,9KT",Yellow,4-1-2024,2-21-2024
DRF9274,RF3415,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,1.00-1.23,4,16,"10KT,14KT,18KT,9KT",Rose,,2-21-2024
DEF8505,EF1257,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),,,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRF9541,RF1113,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,4-1-2024,3-14-2024
DRF9988,RF1316,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.50-0.59,15,18,"14KT,18KT,22KT",Yellow,4-17-2024,2-21-2024
DRF9568,RF1340,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,2.50-2.99,14,15.5,"10KT,14KT,18KT,9KT",Yellow,3-14-2024,2-21-2024
DRM9234,RM3030,RING,Male Ring,Male,Generic,20,"Rose White,White Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.39-0.44,22,22,"10KT,14KT,18KT,9KT",White,3-23-2024,2-21-2024
DRF8544,RF2117,RING,Female Ring,Female,Engagement,9,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DRM10090,RM1338,RING,Male Ring,Male,Generic,26,,Divine (DSJ),,,,,,Rose,,2-21-2024
DPF8286,PF6025,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DPF9958,PF1303,NECKWEAR,Female Pendant,Female,Generic,-,,Divine (DSJ),,,,,,Rose,3-6-2024,2-21-2024
DEF9827,EF1439,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,Rose,,2-21-2024
DEF8149,EF6044,EARRING,Female Earring,Female,Generic,-,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",White,,2-21-2024
DPF9601,PF1267,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.60-0.69,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DEF8163,EF6062,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DRF8182,RF1728,RING,Female Ring,Female,Generic,11.5,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-29-2024,2-21-2024
DPF8223,PF5005,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DEF10146,,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.39-0.44,-,-,18KT,,,3-12-2024
DPF10136,,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,18KT,,,3-12-2024
DRF9653,RF1516,RING,Female Ring,Female,Generic,11,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Rose,3-8-2024,2-21-2024
DCM8753,CM3061,RING,Couple Male Ring,Male,Now & Forever,26,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.70-0.79,14,21,"10KT,14KT,18KT,9KT",Yellow,4-9-2024,2-21-2024
DRF9544,RF1119,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,4,16,"10KT,14KT,18KT,9KT",White,3-14-2024,2-21-2024
DRM8912,RM1153,RING,Male Ring,Male,Generic,16,"Rose,White,Yellow",Divine (DSJ),-,2.50-2.99,32,33.5,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DEF8153,EF6048,EARRING,Female Earring,Female,Setu Collection,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,3-20-2024,2-21-2024
DRF8560,RF3004,RING,Female Ring,Female,Generic,9,"Rose,Rose White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.10-0.13,2.50-2.99,10,21,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DEF9620,EF3457,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Rose,3-23-2024,2-21-2024
DEF8496,EF1231,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.90-0.99,-,-,"10KT,14KT,18KT,9KT",Rose,3-23-2024,2-21-2024
DCF8897,RF1966,RING,Couple Female Ring,Female,Now & Forever,11.5,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.23-0.29,4,16,"10KT,14KT,18KT,9KT",Yellow,3-29-2024,2-21-2024
DRM8942,RM1121,RING,Male Ring,Male,Generic,21,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.18-0.22,14,20,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DPF9498,PF1195,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DEF9523,EF3391,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,3-27-2024,2-21-2024
DEF8621,EF6087,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.14-0.17,-,-,"10KT,14KT,18KT,9KT",Yellow,3-30-2024,3-23-2024
DRM9242,RM3044,RING,Male Ring,Male,Generic,21,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.18-0.22,23,27,"10KT,14KT,18KT,9KT",Yellow,3-23-2024,2-21-2024
DRF9645,RF1487,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,12,21,"10KT,14KT,18KT,9KT",Yellow,3-16-2024,2-21-2024
DRF9541,RF1113,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF8569,RF3014,RING,Female Ring,Female,Generic,9,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),,,4,18,"10KT,14KT,18KT,9KT",White,,2-21-2024
DPF9498,PF1195,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Yellow,3-11-2024,2-21-2024
DRM9238,RM3037,RING,Male Ring,Male,Enamel Generic,22,"White,Yellow",Divine (DSJ),,,15,26,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DEF8606,EF1371,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),,,-,-,"10KT,14KT,18KT,9KT",Rose,,2-21-2024
DRF8174,RF1690,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-21-2024,2-21-2024
DRF8170,RF1685,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRM9124,RM1304,RING,Male Ring,Male,Generic,20,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.50-0.59,16,20.5,"10KT,14KT,18KT,9KT",White,4-9-2024,2-21-2024
DCM8754,CM3062,RING,Couple Male Ring,Male,Now & Forever,23,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.39-0.44,17,25,"10KT,14KT,18KT,9KT",Yellow,3-23-2024,2-21-2024
DRF9187,RF3380,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.30-0.38,4,16,"10KT,14KT,18KT,9KT",Yellow,3-11-2024,2-21-2024
DRF9373,RF5009,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,5,16,"10KT,14KT,18KT,9KT",,,3-8-2024
DRF8688,RF3050,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.14-0.17,15,18.5,"10KT,14KT,18KT,9KT",Yellow,4-2-2024,2-21-2024
DEF8607,EF1372,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.39-0.44,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DPF9489,PF1119,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DRF9993,RF1479,RING,Female Ring,Female,Generic,12,,Divine (DSJ),,,,,,Yellow,4-17-2024,2-21-2024
DRF9541,RF1113,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,,3-14-2024
DEF9835,EF3284,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,Rose,4-17-2024,2-21-2024
